genres,game_title,url,release_date,price,id,developer
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,http://store.steampowered.com/app/761140/Lost_Summoner_Kitty/,2018-01-04,4.99,761140,Kotoshiro
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,http://store.steampowered.com/app/643980/Ironbound/,2018-01-04,0.0,643980,Secret Level SRL
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,http://store.steampowered.com/app/670290/Real_Pool_3D__Poolians/,2017-07-24,0.0,670290,Poolians.com
"['Action', 'Adventure', 'Casual']",弹炸人2222,http://store.steampowered.com/app/767400/2222/,2017-12-07,0.99,767400,彼岸领域
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,http://store.steampowered.com/app/772540/Battle_Royale_Trainer/,2018-01-04,3.99,772540,Trickjump Games Ltd
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,http://store.steampowered.com/app/774277/SNOW__All_Access_Pro_Pass/,2018-01-04,18.99,774277,Poppermost Productions
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,http://store.steampowered.com/app/774278/SNOW__All_Access_Legend_Pass/,2018-01-04,29.99,774278,Poppermost Productions
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,http://store.steampowered.com/app/770380/Army_of_Tentacles_Not_A_Cthulhu_Dating_Sim_Black_GOAT_of_the_Woods_Edition/,2018-01-04,10.99,770380,Stegalosaurus Game Development
"['Casual', 'Indie']",Beach Rules,http://store.steampowered.com/app/768880/Beach_Rules/,2018-01-04,3.99,768880,Copperpick Studio
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,http://store.steampowered.com/app/765320/Planetarium_2__Zen_Odyssey/,2018-01-03,2.99,765320,Ghulam Jewel
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,http://store.steampowered.com/app/773650/The_first_thrust_of_God/,2018-01-03,1.59,773650,Apillo
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,http://store.steampowered.com/app/774271/SNOW__Starter_Pack/,2018-01-03,14.99,774271,Poppermost Productions
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,http://store.steampowered.com/app/773690/The_first_thrust_of_God__All_Aircrafts/,2018-01-03,1.99,773690,Apillo
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,http://store.steampowered.com/app/774279/SNOW__Lifetime_Pack/,2018-01-03,59.99,774279,Poppermost Productions
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,http://store.steampowered.com/app/768060/The_Warrior_Of_Treasures/,2018-01-03,0.99,768060,Tero Lunkka
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,http://store.steampowered.com/app/775880/RC_Plane_3__Canyon_Scenario/,2017-12-22,2.99,775880,FrozenPepper
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,http://store.steampowered.com/app/775881/RC_Plane_3__F53B/,2017-12-23,2.99,775881,FrozenPepper
"['Action', 'Indie']",DinoBlaster,http://store.steampowered.com/app/653960/DinoBlaster/,2018-01-03,4.99,653960,Casey Labrack
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,http://store.steampowered.com/app/282010/Carmageddon_Max_Pack/,1997-06-30,9.99,282010,Stainless Games Ltd
['Action'],Half-Life,http://store.steampowered.com/app/70/HalfLife/,1998-11-08,9.99,70,Valve
"['Action', 'Indie', 'RPG']",Fallen Mage,http://store.steampowered.com/app/752360/Fallen_Mage/,2016-11-25,1.99,752360,dev4play
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,http://store.steampowered.com/app/766850/Vaporwave_Simulator/,2018-01-01,0.99,766850,ETGgames
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,http://store.steampowered.com/app/716110/Bitcoin_Clicker/,2018-01-01,0.99,716110,"lalalaZero,Urbanoff"
['Strategy'],Disciples II: Gallean's Return,http://store.steampowered.com/app/1640/Disciples_II_Galleans_Return/,2006-07-06,6.99,1640,Strategy First
['Strategy'],Disciples II: Rise of the Elves,http://store.steampowered.com/app/1630/Disciples_II_Rise_of_the_Elves/,2006-07-06,6.99,1630,Strategy First
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,http://store.steampowered.com/app/2400/The_Ship_Murder_Party/,2006-07-11,9.99,2400,Outerlight Ltd.
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,http://store.steampowered.com/app/759920/Souland/,2017-12-29,7.99,759920,Ultraint
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,http://store.steampowered.com/app/603280/TAROTICA_VOO_DOO/,2017-12-29,10.99,603280,TPM.CO SOFT WORKS
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,http://store.steampowered.com/app/753110/Chronicles_of_Vinland/,2017-12-29,9.99,753110,Wonderbox Games
"['Action', 'Indie']",Orbitality,http://store.steampowered.com/app/753100/Orbitality/,2017-12-29,9.99,753100,Wonderbox Games
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,http://store.steampowered.com/app/764280/Atomic_Adam_Episode_1/,2017-12-30,1.99,764280,Mad Unicorn Games
['Action'],Advent Rising,http://store.steampowered.com/app/3800/Advent_Rising/,2005-08-09,9.99,3800,GlyphX Games
"['Indie', 'Strategy']",DEFCON,http://store.steampowered.com/app/1520/DEFCON/,2006-09-29,9.99,1520,Introversion Software
"['Action', 'Indie', 'RPG']",The Ship: Single Player,http://store.steampowered.com/app/2420/The_Ship_Single_Player/,2006-11-20,9.99,2420,Outerlight Ltd.
"['Indie', 'Simulation']",Garry's Mod,http://store.steampowered.com/app/4000/Garrys_Mod/,2006-11-29,9.99,4000,Facepunch Studios
['Racing'],RACE - The WTCC Game,http://store.steampowered.com/app/4230/RACE__The_WTCC_Game/,2006-11-24,39.99,4230,SimBin
"['Casual', 'Indie']",Zen of Sudoku,http://store.steampowered.com/app/4900/Zen_of_Sudoku/,2006-12-14,0.0,4900,Unknown Worlds Entertainment
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,http://store.steampowered.com/app/2520/Gumboy__Crazy_Adventures/,2006-12-19,4.99,2520,"CINEMAX, s.r.o."
['Strategy'],Ghost Master®,http://store.steampowered.com/app/6200/Ghost_Master/,2003-08-23,4.99,6200,Sick Puppies
